pdb,chain,name,L,resolution,n_pairs,split
8gci,A,8gci_A,169,2.42,505,val
6iet,A,6iet_A,161,2.10,479,test
2xwc,A,2xwc_A,204,1.82,580,train
6ins,E,6ins_E,50,2.00,130,train
3fze,A,3fze_A,185,1.60,584,train
2jik,A,2jik_A,101,1.35,292,train
5aar,A,5aar_A,185,1.87,599,train
4mod,A,4mod_A,76,1.90,189,test
8rxa,A,8rxa_A,102,1.75,305,train
6zuq,A,6zuq_A,143,1.94,447,val
1iz4,A,1iz4_A,241,2.00,775,train
6gyg,A,6gyg_A,59,1.98,121,train
4bk8,A,4bk8_A,123,1.85,366,train
3n7d,A,3n7d_A,59,2.15,146,train
6q5o,A,6q5o_A,31,1.00,55,train
3ofj,A,3ofj_A,178,2.43,557,train
4ov1,A,4ov1_A,66,2.31,161,train
1is3,A,1is3_A,134,1.45,431,train
2ipz,A,2ipz_A,34,1.35,66,train
2e1f,A,2e1f_A,94,2.00,269,train
6m8o,A,6m8o_A,118,2.50,356,train
4zzf,A,4zzf_A,146,2.17,436,test
9d5d,M,9d5d_M,158,1.83,515,train
4y7u,A,4y7u_A,224,1.70,723,train
6kkp,A,6kkp_A,121,2.50,364,train
2cw4,A,2cw4_A,124,1.80,383,train
2pyu,A,2pyu_A,208,2.02,683,test
3d0z,A,3d0z_A,214,2.50,700,train
8h02,A,8h02_A,79,1.55,229,train
6m1c,A,6m1c_A,184,2.40,585,train
4rra,A,4rra_A,136,1.70,446,train
7nux,A,7nux_A,160,2.47,470,train
2yo2,A,2yo2_A,160,2.00,319,train
6l1s,A,6l1s_A,157,1.36,539,train
4k47,A,4k47_A,183,2.02,592,train
2ob4,A,2ob4_A,157,2.40,475,train
7qdv,A,7qdv_A,96,1.90,256,val
2wnk,A,2wnk_A,223,1.55,713,train
2lis,A,2lis_A,131,1.35,392,train
4esq,A,4esq_A,194,1.70,616,val
7eqb,A,7eqb_A,68,2.10,148,test
2nvn,A,2nvn_A,121,2.50,353,val
3wew,A,3wew_A,233,2.40,755,train
7dbs,A,7dbs_A,252,2.33,742,train
3dze,A,3dze_A,176,1.15,575,train
2qsy,A,2qsy_A,180,1.95,549,train
5elr,C,5elr_C,111,2.30,318,train
2v94,A,2v94_A,97,1.90,285,test
8pzh,A,8pzh_A,117,2.02,378,train
5lxu,A,5lxu_A,57,2.14,144,val
5lir,A,5lir_A,219,1.75,758,train
9hq8,A,9hq8_A,95,2.00,230,train
1hoe,A,1hoe_A,74,2.00,220,val
1mrs,A,1mrs_A,208,2.00,668,train
9hhb,A,9hhb_A,120,2.26,368,train
6qiy,A,6qiy_A,65,1.50,169,train
7ydt,A,7ydt_A,92,2.06,277,val
5a1q,A,5a1q_A,69,1.60,204,train
3cta,A,3cta_A,187,2.20,575,train
4d7y,A,4d7y_A,131,1.44,439,test
2ar5,A,2ar5_A,117,1.80,344,test
4fei,A,4fei_A,102,2.40,261,train
4rs8,A,4rs8_A,84,2.29,243,train
2q37,A,2q37_A,142,2.50,446,train
7peg,A,7peg_A,109,1.77,310,train
4wzg,A,4wzg_A,210,1.90,618,val
2vez,A,2vez_A,165,1.45,477,test
5vei,A,5vei_A,80,1.33,198,train
7mfw,A,7mfw_A,93,2.10,252,train
6ub0,A,6ub0_A,230,1.75,808,train
4z85,A,4z85_A,197,1.70,563,train
5kuj,A,5kuj_A,95,1.60,273,train
5b5l,A,5b5l_A,207,1.40,735,train
3vol,A,3vol_A,138,2.40,375,train
5nfl,A,5nfl_A,74,1.90,195,train
6qur,A,6qur_A,193,1.79,626,train
6ebu,A,6ebu_A,165,2.37,603,train
7oru,A,7oru_A,124,1.67,353,train
3gv3,A,3gv3_A,63,1.60,136,train
3l4h,A,3l4h_A,109,1.80,313,train
1x7n,A,1x7n_A,189,1.89,595,train
4p84,A,4p84_A,180,2.20,576,train
2b0a,A,2b0a_A,186,1.45,566,test
7cfz,A,7cfz_A,60,1.89,174,train
9nxm,A,9nxm_A,213,2.41,680,train
7vw1,A,7vw1_A,85,2.49,236,train
5fu4,A,5fu4_A,92,2.00,283,train
2wkd,A,2wkd_A,79,2.10,198,train
6n1l,A,6n1l_A,141,1.72,453,test
7sc4,A,7sc4_A,111,1.85,325,train
11ch,A,11ch_A,142,1.09,474,train
2ot9,A,2ot9_A,179,1.97,568,train
1h75,A,1h75_A,76,1.70,201,train
7yd4,A,7yd4_A,179,1.90,604,train
6ds6,A,6ds6_A,53,1.95,108,test
1z8f,A,1z8f_A,184,2.50,552,train
4zbz,A,4zbz_A,192,1.90,667,train
2wor,A,2wor_A,96,1.70,275,train
1vgj,A,1vgj_A,184,1.94,592,train
3cqv,A,3cqv_A,196,1.90,614,val
2oo9,A,2oo9_A,46,2.10,117,train
7e3r,A,7e3r_A,146,1.79,405,test
3s4r,A,3s4r_A,88,2.45,189,train
3oj0,A,3oj0_A,138,1.65,424,test
5yku,A,5yku_A,123,1.39,368,train
8r5c,A,8r5c_A,172,1.60,561,val
5qu1,A,5qu1_A,56,1.08,163,train
5zt3,A,5zt3_A,114,1.30,355,val
1wpa,A,1wpa_A,107,1.50,307,train
3c71,A,3c71_A,140,1.90,448,train
1ton,A,1ton_A,228,1.80,782,train
3rdy,A,3rdy_A,67,1.84,179,train
3kzd,A,3kzd_A,85,1.30,241,train
3lek,A,3lek_A,141,2.00,480,train
3ft7,A,3ft7_A,45,2.00,86,train
1vc1,A,1vc1_A,110,2.00,342,train
2cxy,A,2cxy_A,114,1.60,327,train
3lbj,E,3lbj_E,83,1.50,240,val
3ci1,A,3ci1_A,188,1.90,581,val
5ywj,A,5ywj_A,110,2.10,344,train
3sog,A,3sog_A,197,2.30,574,train
2qti,A,2qti_A,67,2.30,159,train
4np9,A,4np9_A,129,1.92,397,val
1wv3,A,1wv3_A,186,1.75,591,train
5zx1,A,5zx1_A,84,2.31,230,train
2y4x,A,2y4x_A,87,1.70,247,train
6bdd,A,6bdd_A,185,1.90,581,train
6on0,A,6on0_A,62,1.60,180,train
1qj8,A,1qj8_A,148,1.90,473,train
5b4y,B,5b4y_B,79,1.90,202,train
3gta,A,3gta_A,90,1.70,270,train
9dy4,A,9dy4_A,232,2.39,677,train
4neo,A,4neo_A,83,2.10,256,train
3icu,A,3icu_A,171,2.10,516,train
4he5,A,4he5_A,82,1.15,256,train
2ecs,A,2ecs_A,60,1.40,151,train
6knd,A,6knd_A,164,1.90,526,train
8xyw,A,8xyw_A,105,1.41,325,train
1fnl,A,1fnl_A,173,1.80,545,val
2qir,A,2qir_A,172,2.40,548,train
7qrc,B,7qrc_B,61,2.18,151,train
1tig,A,1tig_A,88,2.00,266,train
7rps,A,7rps_A,154,2.09,476,train
1few,A,1few_A,173,2.20,532,train
1osd,A,1osd_A,72,2.00,215,train
3mts,A,3mts_A,62,2.20,163,train
3u5s,A,3u5s_A,126,1.50,325,train
1lpj,A,1lpj_A,133,2.00,416,train
7y86,A,7y86_A,81,1.50,197,train
6bsm,A,6bsm_A,201,2.33,621,train
9ln3,A,9ln3_A,148,2.20,506,val
3lax,A,3lax_A,106,1.43,294,train
1hw7,A,1hw7_A,229,2.20,635,train
1i2t,A,1i2t_A,61,1.04,187,train
3h00,A,3h00_A,39,2.20,75,train
3vnf,A,3vnf_A,199,2.10,645,train
5y30,A,5y30_A,182,1.78,556,test
5hdg,A,5hdg_A,94,1.70,283,train
1zs7,A,1zs7_A,187,1.85,615,test
4wmh,A,4wmh_A,207,2.50,677,train
3ic5,A,3ic5_A,115,2.08,335,train
3w41,A,3w41_A,199,1.42,672,train
4gio,A,4gio_A,96,1.90,268,train
8dqa,A,8dqa_A,100,2.00,285,train
8e0c,A,8e0c_A,185,1.99,581,train
7dgy,A,7dgy_A,99,1.80,312,train
11if,A,11if_A,179,1.51,555,train
1l1s,A,1l1s_A,111,2.30,338,train
2bsw,A,2bsw_A,145,1.63,466,train
2wv3,A,2wv3_A,188,1.95,592,train
1pdo,A,1pdo_A,129,1.70,402,train
3sz7,A,3sz7_A,151,1.72,427,train
4ale,A,4ale_A,166,1.48,564,train
9avk,A,9avk_A,101,1.46,280,val
4ug1,A,4ug1_A,71,1.60,111,train
4lh9,A,4lh9_A,40,2.05,49,train
4orl,A,4orl_A,110,1.40,355,train
7s0r,A,7s0r_A,85,2.50,230,train
7xn2,A,7xn2_A,148,1.60,445,test
2y44,A,2y44_A,184,1.65,603,train
5ez9,A,5ez9_A,30,1.80,54,train
6w9o,A,6w9o_A,162,1.47,517,train
1g2e,A,1g2e_A,167,2.30,505,train
2quo,A,2quo_A,123,1.75,366,train
2oqo,A,2oqo_A,181,2.10,576,test
3noj,A,3noj_A,235,1.82,769,train
6kfd,A,6kfd_A,162,1.55,501,test
7u3h,A,7u3h_A,163,1.80,485,train
4yc5,A,4yc5_A,215,1.75,716,test
7bat,A,7bat_A,30,1.77,58,train
2esw,A,2esw_A,60,2.01,169,test
6d8i,A,6d8i_A,79,1.65,221,train
3cd4,A,3cd4_A,178,2.20,561,train
1rr7,A,1rr7_A,94,2.20,225,train
4qrk,A,4qrk_A,212,1.95,628,train
7bwh,A,7bwh_A,88,1.40,233,train
2zfc,A,2zfc_A,44,1.50,95,train
3lf9,A,3lf9_A,120,2.00,350,train
3ab9,A,3ab9_A,127,1.65,403,train
3kxr,A,3kxr_A,171,2.41,505,train
1bxm,A,1bxm_A,99,2.15,277,test
2cbg,A,2cbg_A,210,2.50,720,test
9rbe,A,9rbe_A,208,2.10,690,train
6x1r,A,6x1r_A,94,1.30,278,train
1xak,A,1xak_A,68,1.80,170,train
1s98,A,1s98_A,97,2.30,254,train
3ta5,A,3ta5_A,118,1.52,365,train
1utl,M,1utl_M,222,1.70,773,train
3my2,A,3my2_A,126,2.20,376,train
2hw2,A,2hw2_A,138,1.45,396,train
4m6t,A,4m6t_A,177,2.50,446,train
2bqy,A,2bqy_A,170,2.30,535,train
1gyj,A,1gyj_A,76,2.10,162,train
3b73,A,3b73_A,88,2.12,282,train
4qtj,A,4qtj_A,154,2.10,452,train
1gvl,A,1gvl_A,223,1.80,750,test
1a64,A,1a64_A,94,2.00,131,train
3a5a,A,3a5a_A,152,1.83,480,val
4uj7,A,4uj7_A,208,1.54,630,train
3bjo,A,3bjo_A,103,2.05,302,train
5btz,A,5btz_A,132,1.60,420,train
4ggr,A,4ggr_A,106,1.90,315,train
1m8a,A,1m8a_A,61,1.70,141,train
4h4a,A,4h4a_A,151,2.20,474,train
1rv9,A,1rv9_A,242,1.53,875,train
4o6g,A,4o6g_A,174,1.55,578,train
2fcb,A,2fcb_A,173,1.74,536,train
4b9c,A,4b9c_A,150,1.17,496,test
3wyz,A,3wyz_A,212,2.21,721,train
5y6h,A,5y6h_A,110,1.77,321,train
9zjq,A,9zjq_A,241,2.20,799,train
7al1,A,7al1_A,85,1.40,238,train
1zox,A,1zox_A,110,2.10,358,train
5y3c,A,5y3c_A,83,1.96,216,train
8i33,A,8i33_A,41,1.62,95,val
1yb2,A,1yb2_A,230,2.01,688,train
7ct3,A,7ct3_A,120,1.85,380,train
1yh2,A,1yh2_A,156,2.00,483,train
1tvg,A,1tvg_A,136,1.60,441,train
2cmt,A,2cmt_A,164,1.50,574,train
9jq8,A,9jq8_A,109,1.79,324,train
2cjj,A,2cjj_A,63,1.90,156,train
2qz4,A,2qz4_A,223,2.22,691,train
4i68,A,4i68_A,90,1.63,236,train
3un0,B,3un0_B,107,2.30,334,train
2fq4,A,2fq4_A,184,1.79,576,train
2bdt,A,2bdt_A,172,2.40,529,train
8jjh,B,8jjh_B,202,1.61,627,train
2jku,A,2jku_A,35,1.50,44,train
3le1,A,3le1_A,87,1.51,274,train
3aih,A,3aih_A,110,2.10,306,train
3pis,D,3pis_D,39,2.00,94,train
6xiy,A,6xiy_A,129,2.31,403,train
8zey,A,8zey_A,64,1.73,173,train
1tn4,A,1tn4_A,157,1.95,433,val
3oiz,A,3oiz_A,92,1.65,262,test
4rtt,A,4rtt_A,80,1.87,209,train
4o6x,A,4o6x_A,98,2.10,317,train
2c7w,A,2c7w_A,96,2.48,235,train
6k6n,A,6k6n_A,154,2.00,424,train
1xau,A,1xau_A,104,1.80,294,train
9zmz,A,9zmz_A,99,2.12,223,train
1tua,A,1tua_A,189,1.50,613,train
4u3h,A,4u3h_A,100,1.98,287,train
1blu,A,1blu_A,80,2.10,202,val
7dh8,A,7dh8_A,141,1.85,391,train
4wwq,A,4wwq_A,112,1.80,314,train
8yp0,A,8yp0_A,160,1.88,510,train
2v2k,A,2v2k_A,105,1.60,298,train
4oun,A,4oun_A,125,1.80,393,train
3p0c,A,3p0c_A,111,2.27,314,train
6jls,A,6jls_A,162,2.24,512,train
9xyo,A,9xyo_A,208,2.10,637,train
1k04,A,1k04_A,142,1.95,345,train
3h4o,A,3h4o_A,172,1.50,500,train
2c6u,A,2c6u_A,122,1.60,396,train
2ew7,A,2ew7_A,163,2.20,533,train
3l32,A,3l32_A,44,1.50,110,train
3g28,A,3g28_A,77,1.64,220,train
3fx7,A,3fx7_A,84,1.65,236,train
8ini,A,8ini_A,95,1.75,270,train
1bed,A,1bed_A,181,2.00,568,train
2pjs,A,2pjs_A,114,1.85,280,train
1z3d,A,1z3d_A,151,2.50,485,train
1jd3,A,1jd3_A,164,2.03,531,train
5kvr,A,5kvr_A,77,1.36,184,train
4l9u,A,4l9u_A,49,1.60,105,train
2ji0,A,2ji0_A,138,2.10,414,train
2o4d,A,2o4d_A,144,1.85,451,train
1k1a,A,1k1a_A,228,1.86,748,train
6fmb,A,6fmb_A,98,1.30,271,train
3can,A,3can_A,161,1.80,501,val
5fa8,A,5fa8_A,156,1.30,487,train
5yo3,A,5yo3_A,107,1.70,343,val
3s2q,A,3s2q_A,65,1.75,129,train
9zmy,A,9zmy_A,114,1.62,273,val
9qrf,A,9qrf_A,202,1.45,649,train
2vec,A,2vec_A,227,1.85,762,train
7wrk,A,7wrk_A,160,1.78,526,train
7cfw,A,7cfw_A,123,1.31,414,train
2nsq,A,2nsq_A,140,1.85,432,train
2r57,A,2r57_A,210,2.20,645,train
3sd2,A,3sd2_A,86,1.40,218,train
7fcy,A,7fcy_A,190,1.85,663,train
3cfy,A,3cfy_A,130,2.50,382,val
2i9c,A,2i9c_A,121,2.00,371,train
7ug2,A,7ug2_A,49,2.05,110,test
2vim,A,2vim_A,104,1.38,325,train
3r69,A,3r69_A,85,1.50,232,train
7c50,A,7c50_A,192,1.93,557,train
6fp5,A,6fp5_A,84,2.00,223,train
7zom,A,7zom_A,105,1.60,319,train
9vrz,A,9vrz_A,252,1.86,805,train
1yg2,A,1yg2_A,169,2.20,464,val
6jv6,A,6jv6_A,234,2.15,765,train
1kfm,A,1kfm_A,50,2.00,106,test
5f9q,A,5f9q_A,187,2.04,604,train
1tul,A,1tul_A,102,2.20,305,train
6ihg,A,6ihg_A,186,2.40,577,train
2esk,A,2esk_A,149,1.36,473,train
8kck,A,8kck_A,206,1.35,685,test
2d8e,A,2d8e_A,88,1.75,223,train
7x4e,A,7x4e_A,114,2.32,345,test
7bxy,A,7bxy_A,116,1.98,353,train
4yvo,A,4yvo_A,119,1.45,391,train
2xri,A,2xri_A,206,2.15,700,train
4p9g,A,4p9g_A,150,2.20,484,train
5dom,A,5dom_A,90,1.69,289,train
3bs7,A,3bs7_A,75,1.90,230,val
1o7v,A,1o7v_A,127,1.90,359,val
4p5n,A,4p5n_A,74,1.49,208,val
1glh,A,1glh_A,214,2.00,730,test
9dn8,A,9dn8_A,186,2.12,579,train
9lif,A,9lif_A,146,1.38,497,test
2pg3,A,2pg3_A,221,2.40,688,train
2box,A,2box_A,135,2.50,377,train
3hyq,A,3hyq_A,151,1.52,489,train
5wd9,A,5wd9_A,86,1.40,268,train
6puq,A,6puq_A,171,1.56,565,train
5uqi,A,5uqi_A,188,1.62,590,test
2cg6,A,2cg6_A,90,1.55,232,train
6ifh,A,6ifh_A,119,1.80,397,train
4lbp,A,4lbp_A,98,1.87,270,train
1eto,A,1eto_A,87,1.90,211,train
5x14,A,5x14_A,177,1.68,474,train
9c65,A,9c65_A,182,2.46,590,train
4mwg,A,4mwg_A,174,2.20,539,train
4xvv,A,4xvv_A,77,1.70,224,test
4b62,A,4b62_A,143,1.45,465,train
6iy4,I,6iy4_I,93,1.59,283,train
4e71,A,4e71_A,90,2.26,246,train
2hp7,A,2hp7_A,179,2.00,604,train
4tjv,A,4tjv_A,165,1.65,515,test
4ql5,A,4ql5_A,68,2.02,191,train
6zpm,A,6zpm_A,103,1.90,232,val
2cve,A,2cve_A,190,1.60,621,train
6i1j,A,6i1j_A,30,2.35,60,test
6r0r,A,6r0r_A,162,1.45,531,train
6swi,A,6swi_A,121,1.13,350,train
3cpk,A,3cpk_A,118,2.50,366,train
3sol,A,3sol_A,91,1.90,280,train
7civ,A,7civ_A,215,1.85,701,train
1jo8,A,1jo8_A,58,1.30,175,train
4pqq,A,4pqq_A,156,1.55,503,test
6su5,A,6su5_A,154,1.20,492,train
2d4x,A,2d4x_A,214,1.90,674,train
2od0,A,2od0_A,103,1.95,308,train
4pgs,A,4pgs_A,207,2.50,691,val
4h79,A,4h79_A,177,1.90,591,train
2yzu,A,2yzu_A,104,1.90,325,val
1ocy,A,1ocy_A,198,1.50,373,train
4it6,A,4it6_A,113,1.90,281,test
7p4v,A,7p4v_A,113,1.94,287,val
5gro,A,5gro_A,103,2.00,316,train
3okq,A,3okq_A,125,2.04,318,val
3due,A,3due_A,127,1.85,366,train
3dkm,A,3dkm_A,79,1.60,230,test
4lua,A,4lua_A,156,1.60,490,train
1ulm,A,1ulm_A,82,1.80,240,train
2ifx,A,2ifx_A,106,2.00,280,train
1esr,A,1esr_A,76,2.00,174,test
9h1w,A,9h1w_A,212,2.20,727,train
3ahu,A,3ahu_A,66,2.20,180,train
3mi7,X,3mi7_X,81,2.20,228,test
2bzy,A,2bzy_A,63,2.50,85,train
1c53,A,1c53_A,79,1.80,16,test
7vbo,A,7vbo_A,182,1.50,612,val
3tjy,A,3tjy_A,78,1.70,235,train
5w63,A,5w63_A,174,2.44,532,train
2g7g,A,2g7g_A,197,2.01,595,train
4jk0,D,4jk0_D,120,2.30,357,train
4qb2,A,4qb2_A,129,1.50,446,test
9xzo,A,9xzo_A,120,1.30,385,train
2icj,A,2icj_A,219,1.70,776,train
2bfr,A,2bfr_A,192,2.50,674,train
2d5d,A,2d5d_A,70,1.55,220,train
2bl7,A,2bl7_A,80,2.20,240,train
2d58,A,2d58_A,107,1.90,309,train
2ymk,A,2ymk_A,46,2.49,102,val
1am2,A,1am2_A,181,2.20,602,train
4f8a,A,4f8a_A,146,2.20,467,train
5dbl,A,5dbl_A,130,1.60,321,train
2hdz,A,2hdz_A,66,2.00,161,test
9da4,A,9da4_A,142,1.73,411,val
6bkv,A,6bkv_A,108,2.35,327,train
9uc5,A,9uc5_A,96,1.80,296,train
2fb0,A,2fb0_A,94,2.10,288,train
3mp2,A,3mp2_A,211,2.50,676,train
2xdh,A,2xdh_A,138,1.96,441,train
3fnn,A,3fnn_A,227,2.30,706,test
3hxt,A,3hxt_A,195,1.90,601,train
2x4j,A,2x4j_A,109,1.62,354,train
3qme,A,3qme_A,119,2.00,368,train
3mwm,A,3mwm_A,127,2.40,333,train
2gw2,A,2gw2_A,173,1.80,605,train
2ak2,A,2ak2_A,220,2.10,680,train
7chq,A,7chq_A,87,1.33,245,train
3eaz,A,3eaz_A,102,1.31,294,train
9od9,A,9od9_A,158,1.60,488,train
1k4n,A,1k4n_A,183,1.60,562,train
5d9w,A,5d9w_A,211,1.69,683,train
1vmh,A,1vmh_A,129,1.31,401,train
2isb,A,2isb_A,184,1.66,616,train
3oc8,A,3oc8_A,134,2.10,364,test
9dbw,A,9dbw_A,107,2.10,331,train
6ekg,Y,6ekg_Y,121,1.15,400,train
6kn5,A,6kn5_A,225,2.20,712,train
1wwi,A,1wwi_A,148,1.58,472,train
5t36,A,5t36_A,147,1.40,455,test
1jsx,A,1jsx_A,193,2.40,608,train
5khh,A,5khh_A,195,1.77,609,test
7kwt,A,7kwt_A,65,1.79,150,train
5vny,A,5vny_A,65,1.10,180,train
3n0k,A,3n0k_A,150,1.80,473,test
6s5h,A,6s5h_A,175,2.00,549,train
4mpi,A,4mpi_A,44,1.60,121,train
1x91,A,1x91_A,149,1.50,471,val
5hbl,A,5hbl_A,106,1.62,330,test
5it3,A,5it3_A,85,1.40,252,val
7dut,A,7dut_A,220,2.10,744,train
6ltz,A,6ltz_A,78,1.97,171,train
8xjb,A,8xjb_A,204,1.45,550,train
9deu,A,9deu_A,160,1.70,535,train
5b3k,A,5b3k_A,150,1.70,485,train
6oqm,A,6oqm_A,100,2.20,280,train
1fzq,A,1fzq_A,176,1.70,545,train
8c7d,A,8c7d_A,195,1.86,645,train
6scp,A,6scp_A,87,1.80,260,val
5ht8,A,5ht8_A,87,2.01,290,train
3gy9,A,3gy9_A,149,1.52,453,train
3nzn,A,3nzn_A,103,1.10,311,train
8b2h,A,8b2h_A,143,2.36,481,train
1v67,A,1v67_A,173,2.30,588,train
1v5h,A,1v5h_A,151,2.40,475,train
3kv0,A,3kv0_A,194,1.90,665,train
8zxq,A,8zxq_A,95,1.51,294,train
3oop,A,3oop_A,139,1.78,390,test
1fhg,A,1fhg_A,102,2.00,306,train
1oxj,A,1oxj_A,170,1.80,512,train
3kh0,A,3kh0_A,102,2.10,275,train
3mpl,A,3mpl_A,233,2.10,789,train
1a33,A,1a33_A,174,2.15,609,train
3cqb,A,3cqb_A,103,1.86,295,train
6iwm,A,6iwm_A,92,1.98,278,val
4ghj,A,4ghj_A,73,1.75,180,train
4lx9,A,4lx9_A,157,1.98,520,test
8xpi,A,8xpi_A,90,1.84,261,train
1z0c,A,1z0c_A,200,1.55,665,train
6lx0,A,6lx0_A,135,1.99,437,test
3lqb,A,3lqb_A,198,1.10,636,train
3rco,A,3rco_A,76,1.80,216,train
3dkz,A,3dkz_A,125,2.40,396,train
2frg,P,2frg_P,106,1.19,315,train
8bau,A,8bau_A,189,1.60,603,train
1lg7,A,1lg7_A,164,1.96,528,train
3bwd,D,3bwd_D,156,1.53,487,train
8k8a,A,8k8a_A,62,2.07,135,test
3cjw,A,3cjw_A,207,1.48,671,train
9t9e,A,9t9e_A,172,1.70,500,train
5wpu,A,5wpu_A,199,1.39,673,test
6njv,A,6njv_A,206,2.30,672,train
7o97,A,7o97_A,73,2.00,160,val
3g48,A,3g48_A,110,1.50,300,train
7o4z,A,7o4z_A,165,1.67,546,train
7zvo,A,7zvo_A,131,1.65,433,train
4cnl,A,4cnl_A,182,1.70,540,train
9qlx,A,9qlx_A,221,2.31,677,test
6xph,A,6xph_A,99,1.80,240,train
7lvm,A,7lvm_A,185,1.47,575,train
3qpt,A,3qpt_A,132,2.40,352,train
3ngw,A,3ngw_A,195,2.31,634,train
3q9p,A,3q9p_A,76,2.00,167,train
8gc6,A,8gc6_A,123,1.30,383,train
3vj7,A,3vj7_A,94,2.30,267,train
1l2p,A,1l2p_A,61,1.55,133,train
1o6d,A,1o6d_A,147,1.66,452,train
8xjg,A,8xjg_A,148,1.70,429,train
7ky1,A,7ky1_A,189,1.50,625,train
9j5g,A,9j5g_A,112,2.50,331,train
3m1d,A,3m1d_A,78,2.00,232,train
8yzg,A,8yzg_A,59,1.40,142,train
2qgo,A,2qgo_A,114,2.04,340,train
5eze,G,5eze_G,30,1.80,57,train
1eof,A,1eof_A,100,2.38,301,train
8utk,A,8utk_A,55,1.94,155,val
7jgt,A,7jgt_A,92,1.90,281,train
1o22,A,1o22_A,149,2.00,347,train
2igd,A,2igd_A,61,1.10,151,train
3kgk,A,3kgk_A,92,1.40,257,train
1ydl,A,1ydl_A,71,2.30,162,train
5ktc,A,5ktc_A,187,1.80,593,train
1jf4,A,1jf4_A,147,1.40,468,train
9rpk,A,9rpk_A,225,2.15,707,train
7y56,A,7y56_A,174,1.75,554,train
4agj,A,4agj_A,152,1.98,483,train
4y60,C,4y60_C,76,1.75,171,train
1hul,A,1hul_A,108,2.40,239,val
4ccv,A,4ccv_A,115,1.93,307,train
2tdx,A,2tdx_A,139,2.40,436,train
2nly,A,2nly_A,216,2.50,727,train
3fgh,A,3fgh_A,67,1.35,168,train
1tzu,A,1tzu_A,141,1.85,448,train
6aty,A,6aty_A,38,1.80,107,train
6st4,A,6st4_A,87,1.29,223,train
7tok,A,7tok_A,130,2.45,403,train
3iuf,A,3iuf_A,32,1.80,65,train
5l33,A,5l33_A,106,2.00,317,train
6t00,A,6t00_A,66,2.10,170,train
4o06,A,4o06_A,102,1.15,285,train
8qkf,A,8qkf_A,99,1.88,269,train
6tbz,A,6tbz_A,127,1.78,362,train
2j6b,A,2j6b_A,109,1.30,318,train
7sc3,A,7sc3_A,110,2.23,261,train
9cwl,A,9cwl_A,154,1.80,437,train
5zbk,A,5zbk_A,182,2.30,600,train
4aya,A,4aya_A,59,2.10,125,train
2rb6,A,2rb6_A,57,2.50,131,val
1rn7,A,1rn7_A,112,2.50,320,train
2qco,A,2qco_A,202,2.25,597,train
2a4d,A,2a4d_A,139,1.69,414,test
4u12,A,4u12_A,80,1.94,206,train
1fio,A,1fio_A,190,2.10,593,test
2awg,A,2awg_A,118,1.60,356,test
5tk4,A,5tk4_A,92,1.46,270,train
7vqf,A,7vqf_A,191,2.30,597,test
6uue,A,6uue_A,91,1.39,271,train
6ww4,B,6ww4_B,56,2.25,134,train
4nss,A,4nss_A,115,2.40,348,val
7eue,A,7eue_A,119,2.09,345,train
1cqy,A,1cqy_A,99,1.95,304,test
1h9k,A,1h9k_A,144,1.80,416,train
6hce,A,6hce_A,200,2.50,649,train
4jf8,A,4jf8_A,144,1.35,438,train
2fzt,A,2fzt_A,78,2.05,196,test
3wuz,A,3wuz_A,120,1.30,358,train
1u07,A,1u07_A,90,1.13,233,train
5hfg,A,5hfg_A,205,1.82,684,train
2j97,A,2j97_A,98,1.75,285,train
1b7d,A,1b7d_A,61,1.73,163,val
7cnb,A,7cnb_A,107,2.32,307,train
4jgu,A,4jgu_A,95,1.42,265,test
2pnm,A,2pnm_A,181,2.30,599,train
3lit,A,3lit_A,116,2.19,294,val
2pl7,A,2pl7_A,67,1.00,207,test
3tr0,A,3tr0_A,201,1.85,615,train
3p9z,A,3p9z_A,213,2.10,628,train
7nzc,AAA,7nzc_AAA,61,1.11,175,train
1hmc,A,1hmc_A,148,2.50,34,train
8wgk,A,8wgk_A,138,1.75,438,train
3vpy,A,3vpy_A,145,1.70,419,train
1s21,A,1s21_A,165,2.00,522,train
4jvf,B,4jvf_B,141,2.40,420,val
4ncd,A,4ncd_A,211,2.04,621,train
8a09,A,8a09_A,30,1.35,58,train
2qyb,A,2qyb_A,151,2.40,488,train
1p5s,A,1p5s_A,159,2.22,468,train
4cw9,A,4cw9_A,102,1.84,300,train
8urn,A,8urn_A,152,2.01,480,train
5zdn,A,5zdn_A,192,2.02,634,train
2fuj,A,2fuj_A,118,1.70,326,train
1kt9,A,1kt9_A,132,1.98,388,train
4ykd,A,4ykd_A,84,1.93,255,train
4c1x,A,4c1x_A,188,1.84,650,test
2wce,A,2wce_A,91,1.77,259,train
2dsx,A,2dsx_A,52,0.68,144,train
1yod,A,1yod_A,30,1.80,58,train
1qzm,A,1qzm_A,94,1.90,293,train
1v7q,A,1v7q_A,169,1.59,575,train
2erl,A,2erl_A,40,1.00,102,train
9sid,A,9sid_A,115,1.69,314,train
6dga,A,6dga_A,95,1.19,265,train
9vli,J,9vli_J,44,1.60,91,train
1yzl,A,1yzl_A,172,1.85,548,train
3kkf,A,3kkf_A,105,1.30,293,train
6bxd,A,6bxd_A,192,1.10,585,train
4jkw,A,4jkw_A,119,2.01,363,train
3l4e,A,3l4e_A,202,1.50,710,train
9jbd,A,9jbd_A,139,2.40,426,train
